idx,comment,emotion,date,url
0,عسلامة أورونج رقدت مخلي ال puce متاعي أورونج قمت نلقاها تبدلت أوريدو بلاهي كيفاش نبدلها تليكوم,negative,2018-01-02T19:16:17+0000,https://www.facebook.com/298166859034_10155976149264035
1,"اورونج نحب نقلكم عيشكم خاتر انتوما الوحدين
تتفكروني
تعيدو عليا قبل عيلتي
و مبعد تبعثولي ميساج تقولولي راهو فلوسك وفاو
تعرف الي انا مبارح صبيت دينار ياخي سرقتوه تعرفووووو...😠😠
مصح الرقعة 😑
كان جيت انجم نقتل واحد راني مشيت طول انلوج الي يبعثلي مساج يقلي فيه راهو فلوسك وفاو😈
و شكرا .....
من دون تصفيق 😂😂",negative,2018-01-02T19:43:48+0000,https://www.facebook.com/298166859034_10155976149264035
2,"brabi orange, pk l'connexion ,ma@ t7ebech temchili kan fcbk 7ata le messenger ma najemtech na3mlelha téléchargement en plus le play store ma 7abech chniya ilmochkla brabi",negative,2018-01-02T20:37:47+0000,https://www.facebook.com/298166859034_10155976149264035
3,slm orange elyoum 3adet fourfi 900 ta3 7 jour tan7tli 1800 maya a3lech na7touhem dima tasrli hadi,negative,2018-01-02T19:00:49+0000,https://www.facebook.com/298166859034_10155976149264035
4,N7eb orange,positive,2018-01-08T20:13:49+0000,https://www.facebook.com/298166859034_10155991701199035
5,حزين,negative,2018-01-08T19:15:36+0000,https://www.facebook.com/298166859034_10155991701199035
6,نسالكم 70 ميغاا الله لا تربحكم انتم باش تربحوو الشعب يا متحيلين ان شاء الله 70 ميغاا تطلعلكم 70 مليار خسارة,negative,2018-01-02T19:11:40+0000,https://www.facebook.com/298166859034_10155976149264035
7,"Problème de connexion avec les sites internationaux en 4G !!! echnouwa  hedha! echnouwa ye5i Facebook, Youtube , twitter welbe9i ma3andenech el7a9??!!",negative,2018-01-09T18:10:08+0000,https://www.facebook.com/298166859034_10155990710899035
8,bon orange pk la connexion t7bch temchi ken facebook ama youtube t7ebech😤😤😲 plzzz gedou connexion  c'est rien ok🤗🤗,negative,2018-01-02T20:47:32+0000,https://www.facebook.com/298166859034_10155976149264035
9,3aslma orange belhy n7eb na3ref 3lach ne7etow barcha 7ajet kanow mawjodin fel offert d'appelle any wa7da mens 5alwony nkon men 7ourfkom wtaw bsar7a walit nlawej 3lla ay 5admt o5ra tsa3edny,negative,2018-01-02T21:43:12+0000,https://www.facebook.com/298166859034_10155976149264035
10,احساسنا الي كثروتولها مالسارقة  في الانترنات ركم مرجتونا و مصلحة الحرفاء كي بيها كي بلاش,negative,2018-01-09T07:58:29+0000,https://www.facebook.com/298166859034_10155991701199035
11,ana 3andi el orange wel telekom 00000 ok a3azhom tunisiana tay7et 3likom rabi m3aha ..,negative,2018-01-02T20:50:09+0000,https://www.facebook.com/298166859034_10155976149264035
12,Ya5i chnia la7ya ser9a 3ini 3ink 3mlt abonement b 1 mois 750m 7atit carte b 5 d nrml tnt7l 3 d w ra8m hatha w 3ml abonment lflos 9a3ad tn9osli ya5i chnwa hatha ytsma????,negative,2018-01-08T14:39:00+0000,https://www.facebook.com/298166859034_10155990710899035
