idx,word,occurrences
0,merci,196
1,orang,137
2,?,72
3,??,72
4,w,63
5,de,47
6,le,40
7,??,36
8,dima,31
9,fi,28
10,la,26
11,????,25
12,?????,25
13,???,23
14,??,22
15,???,20
16,et,20
17,??,19
18,brabi,18
19,????,17
20,????,17
21,??,17
22,???,16
23,internet,16
24,je,16
25,???,15
26,b,15
27,??,15
28,???,14
29,????,14
30,point,14
31,???,14
32,???,13
33,??,13
34,servic,13
35,pa,13
36,???,13
37,que,13
38,???,12
39,el,12
40,????,12
41,bech,12
42,??????,11
43,?????????,11
44,??,11
45,jai,11
46,il,11
47,?????,10
48,ama,10
49,mai,10
50,j,10
51,à,10
52,kifech,10
53,???,9
54,neb,9
55,connexion,9
56,?????,9
57,un,9
58,moi,9
59,ena,9
60,ya,9
61,nheb,9
62,ki,9
63,????,8
64,???,8
65,?,8
66,???,8
67,???,8
68,??,8
69,cadeaux,8
70,pour,8
71,bonn,8
72,adsl,8
73,est,8
74,?????,8
75,namel,8
76,chay,8
77,client,8
78,????,8
79,p,8
80,?????,8
81,??,8
82,?????,7
83,?????,7
84,slm,7
85,jour,7
86,ken,7
87,????,7
88,????,7
89,sold,7
90,prix,7
91,l,7
92,kima,7
93,flybox,7
94,ou,7
95,????,7
96,kifeh,7
97,ce,7
98,???,7
99,vou,7
100,bravo,7
101,?????,6
102,????,6
103,avec,6
104,echnouwa,6
105,cest,6
106,fel,6
107,??,6
108,???????,6
109,??????,6
110,??,6
111,mon,6
112,????,6
113,???????,6
114,pu,6
115,?????,6
116,ana,6
117,jaw,6
118,ala,6
119,?????,6
120,men,6
121,???,6
122,?,6
123,?????,6
124,sera,6
125,????,6
126,???,6
127,dinar,6
128,?????,6
129,???????,5
130,??,5
131,facebook,5
132,ela,5
133,ok,5
134,rabi,5
135,yai,5
136,???,5
137,????,5
138,???,5
139,?????,5
140,?????,5
141,???,5
142,????,5
143,????,5
144,???,5
145,mo,5
146,qui,5
147,nest,5
148,anné,5
149,????,5
150,réseau,5
151,????,5
152,barcha,5
153,?????,5
154,?????,5
155,car,5
156,????,5
157,????,5
158,???,5
159,????,5
160,???,5
161,avoir,5
162,belehi,5
163,??,5
164,iphon,5
165,svp,5
166,?????????,5
167,??????,5
168,offr,5
169,????,5
170,??,4
171,puce,4
172,????,4
173,?????,4
174,????,4
175,????,4
176,????,4
177,en,4
178,plu,4
179,youtub,4
180,rien,4
181,chnia,4
182,abon,4
183,cart,4
184,hatha,4
185,???,4
186,???????,4
187,??????,4
188,???,4
189,????,4
190,??????,4
191,????,4
192,????,4
193,???,4
194,f,4
195,???,4
196,?????,4
197,??,4
198,haja,4
199,votr,4
200,ai,4
201,anne,4
202,???,4
203,???,4
204,??????,4
205,kol,4
206,???????,4
207,chi,4
208,?????,4
209,??????????,4
210,trist,4
211,aucun,4
212,?,4
213,????,4
214,????,4
215,??????,4
216,ne,4
217,page,4
218,reseau,4
219,orong,4
220,au,4
221,boutiqu,4
222,une,4
223,acheté,4
224,eli,4
225,bel,4
226,???????,4
227,??????,4
228,???,4
229,????,4
230,??,4
231,????,4
232,flou,4
233,bonu,4
234,????,4
235,forfait,4
236,lel,4
237,????,4
238,???,4
239,oredoo,4
240,ooredoo,4
241,wala,4
242,tunisi,4
